,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
50347,50348,0.58,Ideal,F,VS1,60.4,57.0,2245,5.42,5.37,3.26
9932,9933,1.05,Very Good,H,SI1,63.5,57.0,4692,6.47,6.44,4.1
49909,49910,0.71,Premium,G,SI1,58.9,62.0,2181,5.85,5.79,3.43
44814,44815,0.5,Ideal,G,VS1,62.0,55.0,1624,5.05,5.11,3.15
48002,48003,0.52,Ideal,D,VS2,62.3,54.0,1919,5.19,5.14,3.22
26147,26148,2.0,Premium,H,SI2,60.7,60.0,15451,8.11,8.07,4.91
49342,49343,0.71,Good,H,SI1,63.1,57.0,2096,5.61,5.65,3.55
15052,15053,0.3,Premium,F,VS2,61.5,60.0,605,4.26,4.29,2.63
16885,16886,1.02,Good,G,VS1,63.3,58.0,6738,6.38,6.42,4.05
25966,25967,1.51,Fair,D,VS2,66.0,57.0,15152,7.17,7.08,4.7
36980,36981,0.38,Ideal,F,VVS2,61.3,55.0,963,4.71,4.72,2.89
52691,52692,0.69,Very Good,G,VVS2,63.8,53.7,2553,5.6,5.72,3.61
34523,34524,0.33,Very Good,G,VVS1,61.2,60.0,868,4.42,4.44,2.71
14978,14979,1.14,Premium,F,SI1,61.1,59.0,6033,6.75,6.7,4.11
46149,46150,0.5,Premium,G,VS1,60.9,58.0,1746,5.23,5.09,3.14
8049,8050,0.25,Ideal,G,IF,61.1,57.0,582,4.06,4.07,2.48
35191,35192,0.31,Ideal,G,IF,61.7,54.0,891,4.38,4.4,2.71
31773,31774,0.32,Very Good,F,VS2,63.3,57.0,773,4.38,4.34,2.76
26437,26438,2.02,Ideal,H,SI2,63.0,57.0,15974,8.01,8.06,5.06
10318,10319,1.03,Ideal,D,SI2,61.2,57.0,4764,6.59,6.51,4.01
12406,12407,1.03,Ideal,E,SI1,62.0,57.0,5234,6.44,6.47,4.0
404,405,0.33,Ideal,H,SI2,61.4,56.0,554,4.85,4.79,2.95
31736,31737,0.31,Ideal,H,IF,61.4,57.0,772,4.36,4.39,2.68
17341,17342,1.0,Good,E,VS2,58.2,60.0,6958,6.52,6.54,3.8
35917,35918,0.43,Premium,H,SI1,60.2,57.0,919,4.93,4.91,2.96
19657,19658,1.17,Ideal,H,IF,61.0,53.0,8266,6.89,6.85,4.19
6611,6612,0.72,Ideal,D,VS2,61.8,56.0,4082,5.74,5.78,3.56
31453,31454,0.34,Ideal,G,VS2,62.7,55.0,765,4.49,4.48,2.81
20786,20787,1.21,Ideal,G,VS1,62.2,56.0,9026,6.87,6.85,4.26
29711,29712,0.31,Good,G,VVS2,63.3,57.0,707,4.28,4.31,2.72
6273,6274,1.12,Premium,E,I1,61.0,59.0,4014,6.74,6.7,4.1
11968,11969,1.05,Premium,H,SI1,60.2,62.0,5139,6.57,6.52,3.94
33819,33820,0.32,Ideal,E,VVS2,60.8,57.0,842,4.42,4.46,2.7
48514,48515,0.58,Ideal,G,VS1,62.6,54.0,1984,5.34,5.3,3.33
46486,46487,0.62,Premium,D,SI2,62.0,59.0,1777,5.48,5.45,3.39
32486,32487,0.41,Premium,D,SI2,59.9,60.0,795,4.8,4.78,2.87
3464,3465,0.84,Very Good,I,VVS2,61.7,56.0,3392,6.03,6.07,3.74
10539,10540,1.0,Ideal,E,SI2,62.9,55.0,4808,6.38,6.41,4.02
32368,32369,0.4,Ideal,I,VVS1,63.0,55.0,790,4.7,4.73,2.97
8458,8459,1.03,Premium,G,SI2,59.9,60.0,4413,6.56,6.5,3.91
37055,37056,0.43,Ideal,G,SI1,62.9,55.0,968,4.87,4.83,3.05
42517,42518,0.5,Fair,F,VS2,64.6,58.0,1323,5.01,4.99,3.23
40483,40484,0.64,Good,J,SI2,64.7,54.0,1141,5.39,5.43,3.5
13920,13921,1.2,Very Good,G,SI1,63.2,59.0,5665,6.77,6.74,4.27
51915,51916,0.7,Ideal,E,SI2,62.3,58.0,2436,5.66,5.7,3.54
25387,25388,2.0,Very Good,G,SI2,64.0,58.0,14074,7.86,7.95,5.06
22273,22274,1.52,Premium,H,SI1,60.1,60.0,10330,7.47,7.45,4.48
1597,1598,1.2,Fair,J,I1,64.9,59.0,3011,6.61,6.54,4.27
25213,25214,2.18,Very Good,J,SI1,62.9,59.0,13812,8.21,8.25,5.18
24550,24551,1.52,Very Good,G,VS2,62.1,58.0,12840,7.36,7.43,4.59
39104,39105,0.41,Ideal,H,VS1,61.8,56.0,1061,4.81,4.77,2.96
24578,24579,1.7,Very Good,H,VS2,62.8,58.0,12874,7.52,7.57,4.74
46168,46169,0.5,Premium,E,VS2,61.3,60.0,1746,5.11,5.07,3.12
50986,50987,0.31,Very Good,H,VS1,62.9,58.0,544,4.31,4.34,2.72
1337,1338,0.73,Premium,F,VS1,61.9,56.0,2961,5.81,5.76,3.58
